#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-08-30 13:40:45.105
#Start: 1 Hz
#Stop: 2e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43531 V
#Offset: -0.000212314 V
#Relative: no
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -2 V

#2,4kHz
#raw
#
Frequency (Hz),Channel 1 Magnitude (dB)
1.000000000000002,-28.89735050696032
1.101556726136675,-28.07342409417904
1.213427220896945,-27.24584145051912
1.336658916856357,-26.41429091040294
1.472405620413677,-25.59392069243323
1.621938314768127,-24.76934287512842
1.786657060011607,-23.95110103304211
1.968104101755354,-23.13379933530614
2.167978311025786,-22.30778522488009
2.388151090628878,-21.4952623739974
2.630683896912867,-20.67550943905745
2.897847540983796,-19.86471426556188
3.192143450089312,-19.0501662104914
3.516327088239006,-18.24079749810725
3.873433755346252,-17.43290058525948
4.266807006446487,-16.63057112462424
4.700129957078209,-15.82998459151641
5.177459767935964,-15.03750858409426
5.703265631671878,-14.25067904650854
6.282470617512264,-13.47273680235535
6.920497765476638,-12.70229576259369
7.623320861774605,-11.94231668500004
8.397520370785816,-11.1927885896493
9.250345047308825,-10.45713983318915
10.1897798059481,-9.739724404510826
11.22462048309374,-9.038992502746941
12.36455619148338,-8.359734641087659
13.62026003842331,-7.703757623561939
15.00348905705574,-7.075360781522723
16.52719428631772,-6.476883051012009
18.20564203026083,-5.908914575768666
20.05454743207029,-5.375241509372391
22.09122161342397,-4.875880365511851
24.33473375684297,-4.414250741110731
26.80608964859552,-3.989054321323802
29.52842835383298,-3.601034792871236
32.52723886540949,-3.250261856169407
35.83059875484602,-2.933753383123412
39.46943705990486,-2.651431497118335
43.47782387016617,-2.400212357714033
47.89328932196705,-2.178047848562239
52.7571749894225,-1.983520150000877
58.11502096156779,-1.811521634069193
64.01699222978847,-1.661392569110592
70.51834837776262,-1.529914875436679
77.67996097157355,-1.415614443577344
85.56888349427092,-1.315334696580841
94.25897916111927,-1.228400347033729
103.8316124937074,-1.152615548042157
114.3764111280598,-1.085857611787065
125.9921049894874,-1.028968308807449
138.7874506912877,-0.9777656916497429
152.8822498123495,-0.9334823756998953
168.4084705877004,-0.8950589268416475
185.5114835142713,-0.8608076298746737
204.3514224407379,-0.8316098634637841
225.104683885191,-0.8055782662506784
247.9655786186014,-0.7823686577380163
273.1481509776921,-0.7626287526964902
300.8881829412715,-0.7443409843830652
331.4454017339991,-0.7289588483225793
365.1059116271583,-0.7162089607615764
402.1848727051567,-0.7033590291109014
443.0294516787861,-0.6924922406124523
488.0220723734094,-0.6849176831987513
537.5839963260862,-0.6774238496868566
592.1792670164315,-0.6687235973464646
652.3190546606343,-0.6630750327823267
718.566442248537,-0.6572893195443448
791.5416976349733,-0.6541047530210596
871.9280810474446,-0.6489308191777893
960.4782423852547,-0.6468136435090579
1058.021268207405,-0.6446271143454303
1165.470444389518,-0.6416706234698087
1283.83180713077,-0.6399708532266153
1414.213562373096,-0.6361906249149281
1557.836461825788,-0.6336601327516916
1716.04523274515,-0.6335024421280113
1890.32116848519,-0.6317216021482687
2082.295997703392,-0.6300835827035473
2293.767162077645,-0.6288434281885205
2526.714645578055,-0.6254445951772687
2783.319512864541,-0.6231510733909491
3065.98433038338,-0.6223549064748678
3377.355661363451,-0.6235274264907197
3720.348845330674,-0.6178748937055155
4098.175294148803,-0.616511911166009
